"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1953","[Test][Positive] : All social icons open in a new tab @smoke","chromium","2026-06-15","passed","2026-06-15","Footer social icons and contact links","e2e/locatorsActionsAndAssertsHomeWork/task2.spec.js","",""
"","4591","[Test][Positive] : Facebook icon is visible and has correct href @smoke","webkit","2026-06-15","passed","2026-06-15","Footer social icons and contact links","e2e/locatorsActionsAndAssertsHomeWork/task2.spec.js","",""
"","1908","[Test][Positive] : Garage heading is correct @smoke","chromium","2026-06-15","passed","2026-06-15","Garage page (guest)","e2e/locatorsActionsAndAssertsHomeWork/task5.spec.js","",""
"","2759","[Test][Positive] : Garage heading is correct @smoke","firefox","2026-06-15","passed","2026-06-15","Garage page (guest)","e2e/locatorsActionsAndAssertsHomeWork/task5.spec.js","",""
"","2999","[Test][Positive] : Authorized user sees Garage heading @smoke","firefox:auth","2026-06-15","passed","2026-06-15","Garage page (authorized user)","e2e/playwrightFixturesAndStorageStateHomeWork/task1.spec.js","",""
"","2455","[Test][Positive] : Facebook icon is visible and has correct href @smoke","firefox","2026-06-15","passed","2026-06-15","Footer social icons and contact links","e2e/locatorsActionsAndAssertsHomeWork/task2.spec.js","",""
"","2063","[Test][Negative] : Email field shows error for incorrect email format @smoke","chromium","2026-06-15","passed","2026-06-15","Registration modal","e2e/locatorsActionsAndAssertsHomeWork/task1.spec.js","",""
"","3263","[Test][Positive] : Authorized user sees Garage heading @smoke","webkit:auth","2026-06-15","passed","2026-06-15","Garage page (authorized user)","e2e/playwrightFixturesAndStorageStateHomeWork/task1.spec.js","",""
"","2605","[Test][Negative] : Register button is disabled when all fields are empty @smoke","firefox","2026-06-15","passed","2026-06-15","Registration modal","e2e/locatorsActionsAndAssertsHomeWork/task1.spec.js","",""
"","4560","[Test][Positive] : Telegram icon is visible and has correct href @smoke","webkit","2026-06-15","passed","2026-06-15","Footer social icons and contact links","e2e/locatorsActionsAndAssertsHomeWork/task2.spec.js","",""
"","2490","[Test][Positive] : Email link is visible and has correct href @smoke","firefox","2026-06-15","passed","2026-06-15","Footer social icons and contact links","e2e/locatorsActionsAndAssertsHomeWork/task2.spec.js","",""
"","1947","[Test][Positive] : Email link is visible and has correct href @smoke","chromium","2026-06-15","passed","2026-06-15","Footer social icons and contact links","e2e/locatorsActionsAndAssertsHomeWork/task2.spec.js","",""
"","3380","[Test][Negative] : Name field shows error for invalid characters (numbers) @smoke","firefox","2026-06-15","passed","2026-06-15","Registration modal","e2e/locatorsActionsAndAssertsHomeWork/task1.spec.js","",""
"","2779","[Test][Positive] : Hero Sign up button opens registration modal @smoke","firefox","2026-06-15","passed","2026-06-15","Hero section","e2e/locatorsActionsAndAssertsHomeWork/task3.spec.js","",""
"","1946","[Test][Positive] : Hero Sign up button is visible and enabled @smoke","chromium","2026-06-15","passed","2026-06-15","Hero section","e2e/locatorsActionsAndAssertsHomeWork/task3.spec.js","",""
"","1877","[Test][Positive] : Hero description is visible and has correct text @smoke","chromium","2026-06-15","passed","2026-06-15","Hero section","e2e/locatorsActionsAndAssertsHomeWork/task3.spec.js","",""
"","2577","[Test][Positive] : Add car button is visible and enabled @smoke","firefox","2026-06-15","passed","2026-06-15","Garage page (guest)","e2e/locatorsActionsAndAssertsHomeWork/task5.spec.js","",""
"","7421","[Test][Positive] : User nav dropdown toggle is visible @smoke","webkit","2026-06-15","passed","2026-06-15","Garage page (guest)","e2e/locatorsActionsAndAssertsHomeWork/task5.spec.js","",""
"","2510","[Test][Positive] : Guest log in button is visible and enabled @smoke","firefox","2026-06-15","passed","2026-06-15","Header","e2e/locatorsActionsAndAssertsHomeWork/task4.spec.js","",""
"","4299","[Test][Positive] : Add car button is visible and enabled @smoke","webkit","2026-06-15","passed","2026-06-15","Garage page (guest)","e2e/locatorsActionsAndAssertsHomeWork/task5.spec.js","",""
"","2859","[Test][Positive] : Guest log in redirects to garage page @smoke","firefox","2026-06-15","passed","2026-06-15","Header","e2e/locatorsActionsAndAssertsHomeWork/task4.spec.js","",""
"","2467","[Test][Positive] : Telegram icon is visible and has correct href @smoke","firefox","2026-06-15","passed","2026-06-15","Footer social icons and contact links","e2e/locatorsActionsAndAssertsHomeWork/task2.spec.js","",""
"","5752","[Test][Positive] : Guest log in redirects to garage page @smoke","webkit","2026-06-15","passed","2026-06-15","Header","e2e/locatorsActionsAndAssertsHomeWork/task4.spec.js","",""
"","2537","[Test][Negative] : Name field shows error for invalid characters (numbers) @smoke","chromium","2026-06-15","passed","2026-06-15","Registration modal","e2e/locatorsActionsAndAssertsHomeWork/task1.spec.js","",""
"","1913","[Test][Positive] : User nav dropdown toggle is visible @smoke","chromium","2026-06-15","passed","2026-06-15","Garage page (guest)","e2e/locatorsActionsAndAssertsHomeWork/task5.spec.js","",""
"","2735","[Test][Negative] : Email field shows error for incorrect email format @smoke","firefox","2026-06-15","passed","2026-06-15","Registration modal","e2e/locatorsActionsAndAssertsHomeWork/task1.spec.js","",""
"","4548","[Test][Positive] : Hero title is visible and has correct text @smoke","webkit","2026-06-15","passed","2026-06-15","Hero section","e2e/locatorsActionsAndAssertsHomeWork/task3.spec.js","",""
"","4725","[Test][Positive] : Successful registration @smoke","chromium","2026-06-15","passed","2026-06-15","Registration modal","e2e/locatorsActionsAndAssertsHomeWork/task1.spec.js","",""
"","4935","[Test][Positive] : Logo is visible and links to home page @smoke","webkit","2026-06-15","passed","2026-06-15","Header","e2e/locatorsActionsAndAssertsHomeWork/task4.spec.js","",""
"","5752","[Test][Positive] : Successful registration @smoke","firefox","2026-06-15","passed","2026-06-15","Registration modal","e2e/locatorsActionsAndAssertsHomeWork/task1.spec.js","",""
"","2779","[Test][Positive] : Header Garage link is visible and active @smoke","firefox","2026-06-15","passed","2026-06-15","Garage page (guest)","e2e/locatorsActionsAndAssertsHomeWork/task5.spec.js","",""
"","2007","[Test][Positive] : Header Garage link is visible and active @smoke","chromium","2026-06-15","passed","2026-06-15","Garage page (guest)","e2e/locatorsActionsAndAssertsHomeWork/task5.spec.js","",""
"","4564","[Test][Positive] : Email link is visible and has correct href @smoke","webkit","2026-06-15","passed","2026-06-15","Footer social icons and contact links","e2e/locatorsActionsAndAssertsHomeWork/task2.spec.js","",""
"","1950","[Test][Negative] : Register button is disabled when all fields are empty @smoke","chromium","2026-06-15","passed","2026-06-15","Registration modal","e2e/locatorsActionsAndAssertsHomeWork/task1.spec.js","",""
